fedora,				arch,				debian-x86_64,			ubuntu-clang,			debian-s390x,			debian-i386,
,				base-devel,			,				,				,				,
adobe-source-han-sans-cn-fonts,	adobe-source-han-sans-cn-fonts,	,				,				,				,
,				,				,				,				binutils-multiarch		,
ca-certificates,		,				ca-certificates,		ca-certificates,		,				ca-certificates,
,				,				,				clang,				,				,
cairo-devel,			,				libcairo-dev,			libcairo-dev,			libcairo-dev:s390x,		libcairo-dev,
cairo-gobject-devel,		,				libcairo-gobject2,		libcairo-gobject2,		libcairo-gobject2:s390x,	libcairo-gobject2,
colord-devel,			colord,				libcolord-dev,			libcolord-dev,			libcolord-dev:s390x,		libcolord-dev,
dejavu-sans-fonts,		ttf-dejavu,			fonts-dejavu,			fonts-dejavu,			,				fonts-dejavu,
,				,				devscripts,			devscripts,			,				devscripts,
,				,				debhelper,			debhelper,			,				debhelper,
dbus-x11,			,				dbus-x11,			dbus-x11,			,				dbus-x11,
dconf,				,				,				,				,				,
docbook-utils,			docbook-utils,			docbook-utils,			docbook-utils,			,				docbook-utils
,				docbook-sgml,			,				,				,				,
elfutils-libelf-devel,		,				libelf-dev,			libelf-dev,			libelf-dev:s390x,		libelf-dev,
,				,				fakeroot,			fakeroot,			,				fakeroot,
freetype,			,				libfreetype6-dev,		libfreetype6-dev,		libfreetype6-dev:s390x,		libfreetype6-dev
fontconfig,			,				fontconfig,			fontconfig,			,				fontconfig,
fwupdate-devel,			fwupdate,			libfwup-dev,			libfwup-dev,			,				libfwup-dev,
gcab,				,				gcab,				gcab,				gcab,				gcab,
gettext,			,				gettext,			gettext,			gettext,			gettext,
gnupg2,				,				,				,				,				,
,				,				gir1.2-appstreamglib-1.0,	gir1.2-appstreamglib-1.0,	,				gir1.2-appstreamglib-1.0,
,				,				,				,				gcc-multilib-s390x-linux-gnu,	,
git,				git,				git,				git,				git,				git,
glib2-devel,			,				libglib2.0-dev,			libglib2.0-dev,			libglib2.0-dev:s390x,		libglib2.0-dev,
gobject-introspection-devel,	gobject-introspection,		,				,				,				,
gpgme-devel,			,				libgpgme11-dev,			libgpgme11-dev,			libgpgme-dev:s390x,		libgpgme-dev,
gnome-desktop-testing,		,				gnome-desktop-testing,		gnome-desktop-testing,		,				gnome-desktop-testing,
gnutls-devel,			,				gnutls-dev,			gnutls-dev,			libgnutls28-dev:s390x,		libgnutls28-dev,
,				,				gnutls-bin,			gnutls-bin,			gnutls-bin,			gnutls-bin,
gnutls-utils,			,				,				,				,				,
gtk-doc,			gtk-doc,			gtk-doc-tools,			gtk-doc-tools,			,				gtk-doc-tools,
help2man,			help2man,			help2man,			help2man,			help2man,			help2man,
jq,				,				,				,				,				,
libappstream-glib-devel,	appstream-glib,			libappstream-glib-dev,		libappstream-glib-dev,		libappstream-glib-dev:s390x,	libappstream-glib-dev,
libarchive-devel,		,				libarchive-dev,			libarchive-dev,			libarchive-dev:s390x,,		libarchive-dev,
,				,				libcolorhug-dev,		libcolorhug-dev,		libcolorhug-dev:s390x,		libcolorhug-dev,
,				,				libefivar-dev,			libefivar-dev,			,				libefivar-dev,
,				,				libgcab-dev,			libgcab-dev,			libgcab-dev:s390x,		libgcab-dev,
,				,				libgirepository1.0-dev,		libgirepository1.0-dev,		libgirepository1.0-dev,		libgirepository1.0-dev,
libgudev1-devel,		,				libgudev-1.0-dev,		libgudev-1.0-dev,		libgudev-1.0-dev:s390x,		libgudev-1.0-dev,
libgusb-devel,			,				libgusb-dev,			libgusb-dev,			libgusb-dev:s390x,		libgusb-dev,
,				,				,				,				libicu-dev:s390x,		libicu-dev,
,				,				,				,				libidn2-0-dev:s390x,		libidn2-0-dev,
libsmbios-devel,		,				libsmbios-dev,			libsmbios-dev,			,				libsmbios-dev,
libsoup-devel,			,				libsoup2.4-dev,			libsoup2.4-dev,			libsoup2.4-dev:s390x,		libsoup2.4-dev,
,				,				libtool-bin,			libtool-bin,			,				libtool-bin,
,				,				libumockdev-dev,		libumockdev-dev,		,				libumockdev-dev,
,				,				,				,				libxml2-dev:s390x,		,
,				,				lintian,			lintian,			,				lintian,
,				,				locales,			locales,			locales,			locales,
meson,				meson,				meson,				meson,				meson,				meson,
pango-devel,			,				gir1.2-pango-1.0,		gir1.2-pango-1.0,		,				gir1.2-pango-1.0,
,				perl-sgmls,			,				,				,				,
,				,				pkg-config,			pkg-config,			,				pkg-config,
polkit,				,				policykit-1,			policykit-1,			policykit-1,			policykit-1,
polkit-devel,			,				libpolkit-gobject-1-dev,	libpolkit-gobject-1-dev,	libpolkit-gobject-1-dev:s390x,	libpolkit-gobject-1-dev,
python3,			,				,				,				,				,
python3-cairo,			python-cairo,			python3-gi-cairo,		python3-gi-cairo,		python3-gi-cairo,		python3-gi-cairo,
python3-gobject,		python-gobject,			,				,				,				,
python3-pillow,			python-pillow,			python3-pil,			python3-pil,			python3-pil,			python3-pil,
python3-requests,		,				python3-requests,		python3-requests,		,				python3-requests,
,				,				,				,				qemu-user,			,
rpm-build,			,				,				,				,				,
redhat-rpm-config,		,				,				,				,				,
sqlite-devel,			,				libsqlite3-dev,			libsqlite3-dev,			libsqlite3-dev:s390x,		libsqlite3-dev,
systemd,			,				systemd,			systemd,			systemd,			systemd,
,				,				texlive-fonts-recommended,	texlive-fonts-recommended,	,				texlive-fonts-recommended
,				,				udev,				udev,				udev,				udev,
umockdev-devel,			umockdev,			umockdev,			umockdev,			,				umockdev,
valgrind,			valgrind,			valgrind,			valgrind,			,				valgrind,
valgrind-devel,			,				,				,				,				,
xz,				,				,				,				,				,
