# Total Phase Data Center(tm) v6.63
# (c) 2005-2015 Total Phase, Inc.
# www.totalphase.com
#
# Fri Jun 03 12:02:30 2016
#
# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Summary
0,,0,0:00.000.000,,,,,,Capture started (Aggregate),[Fri 03 Jun 2016 12:00:01 BST]
0,,1,0:00.000.024,,,,,,<Reset> / <Target disconnected>,
0,,2,0:09.124.398,,,,,,<Unreset> / <Target connected>,
0,,3,0:09.565.223,,,,,,<Reset> / <Target disconnected>,
0,,4,0:09.643.335,,,,,,<Unreset> / <Target connected>,
0,,5,0:10.095.673,,,,,,<Reset> / <Target disconnected>,
0,,6,0:10.126.773,,,,,,<Unreset> / <Target connected>,
0,,7,0:10.127.444,31.007.125 ms,,,,,[32 SOF],[Frames: 1881 - 1912] 
0,,8,0:10.158.452,13.000 us,8 B,,00,00,SETUP txn,80 06 00 01 00 00 40 00
0,,12,0:10.159.448,2.812 us,,,,,[1 SOF],[Frame: 1913] 
0,,13,0:10.159.451,20.229 us,18 B,,00,00,IN txn,12 01 00 02 00 00 00 40 83 04 50 57 00 02 01 02 03 01
0,,17,0:10.160.448,1.002.958 ms,,,,,[2 SOF],[Frames: 1914 - 1915] 
0,,18,0:10.161.452,7.666 us,0 B,,00,00,OUT txn,
0,,22,0:10.162.449,2.833 us,,,,,[1 SOF],[Frame: 1916] 
0,,23,0:10.162.542,,,,,,<Reset> / <Target disconnected>,
0,,24,0:10.189.147,,,,,,<Unreset> / <Target connected>,
0,,25,0:10.189.452,31.007.125 ms,,,,,[32 SOF],[Frames: 1943 - 1974] 
0,,26,0:10.220.460,13.000 us,8 B,,00,00,SETUP txn,00 05 01 00 00 00 00 00
0,,30,0:10.221.457,2.812 us,,,,,[1 SOF],[Frame: 1975] 
0,,31,0:10.221.460,8.229 us,0 B,,00,00,IN txn,
0,,35,0:10.222.457,30.007.000 ms,,,,,[31 SOF],[Frames: 1976 - 2006] 
0,,36,0:10.252.465,13.000 us,8 B,,01,00,SETUP txn,80 06 00 01 00 00 12 00
0,,40,0:10.253.461,2.895 us,,,,,[1 SOF],[Frame: 2007] 
0,,41,0:10.253.465,20.229 us,18 B,,01,00,IN txn,12 01 00 02 00 00 00 40 83 04 50 57 00 02 01 02 03 01
0,,45,0:10.254.461,2.812 us,,,,,[1 SOF],[Frame: 2008] 
0,,46,0:10.254.465,7.645 us,0 B,,01,00,OUT txn,
0,,50,0:10.255.462,1.003.041 ms,,,,,[2 SOF],[Frames: 2009 - 2010] 
0,,51,0:10.256.465,13.083 us,8 B,,01,00,SETUP txn,80 06 00 02 00 00 FF 00
0,,55,0:10.257.462,2.812 us,,,,,[1 SOF],[Frame: 2011] 
0,,56,0:10.257.465,35.729 us,41 B,,01,00,IN txn,09 02 29 00 01 01 00 C0 F0 09 04 00 00 02 03 00 00 00 09 21 10 01 00 01…
0,,60,0:10.258.462,1.002.958 ms,,,,,[2 SOF],[Frames: 2012 - 2013] 
0,,61,0:10.259.465,7.666 us,0 B,,01,00,OUT txn,
0,,65,0:10.260.462,1.003.125 ms,,,,,[2 SOF],[Frames: 2014 - 2015] 
